,short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking,skill,movement,power,mentality
395,Antony,Antony Matheus dos Santos,79,21,24-02-2000,174,63,RW,Forward,Ajax,Holland Eredivisie,Brazil,11,Left,3,5,"Flair, Outside Foot Shot, Technical Dribbler (AI)",91,72,72,84,37,65,66,75.8,86.8,66,67.5
396,O. Wijndal,Owen Wijndal,79,21,28-11-1999,176,65,LB,Defender,AZ Alkmaar,Holland Eredivisie,Netherlands,5,Left,2,3,Speed Dribbler (AI),84,53,74,78,74,74,65,67.6,81.6,66.2,69.5
397,M. Senesi,Marcos NicolÃ¡s Senesi BarÃ³n,79,24,10-05-1997,183,78,LCB,Defender,Feyenoord,Holland Eredivisie,Argentina,4,Left,3,2,"Long Passer (AI), Power Header",61,39,63,71,81,78,52.8,54,64.4,66.4,61.66666667
398,Y. Bissouma,Yves Bissouma,79,24,30-08-1996,182,80,LCM,Midfield,Brighton & Hove Albion,English Premier League,Mali,8,Right,3,4,"Power Free-Kick, Flair, Long Shot Taker (AI)",70,68,75,78,77,75,66.6,74.4,73.8,78.8,72
399,Gabri PrestÃ£o,Bernard Gabriel PrestÃ£o Chaves,79,29,29-02-1992,186,80,GK,GK,Internacional,Campeonato Brasileiro SÃ©rie A,Brazil,44,Right,3,1,GK Long Throw,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,8.6,15,61,41.6,31.83333333
400,Luimo Boas Santos,Luan VÃ¡gner Boas Macedo,79,21,29-02-2000,176,73,ST,Forward,Santos,Campeonato Brasileiro SÃ©rie A,Brazil,9,Right,4,4,"Finesse Shot, Outside Foot Shot",83,79,65,81,28,64,69.8,71.6,81.2,77.2,61.16666667
401,M. Arambarri,Mauro Wilney Arambarri Rosa,79,25,30-09-1995,175,74,RDM,Midfield,Getafe CF,Spain Primera Division,Uruguay,18,Right,3,3,"Long Passer (AI), Long Shot Taker (AI)",47,60,72,72,77,76,58.4,69.8,59.6,71.4,68.33333333
402,D. Kamada,éŽŒç”° å¤§åœ°,79,24,05-08-1996,184,76,CAM,Midfield,Eintracht Frankfurt,German 1. Bundesliga,Japan,15,Right,4,3,"Playmaker (AI), Technical Dribbler (AI)",75,68,79,83,41,59,68.6,78,77.2,66,65.33333333
403,P. Schick,Patrik Schick,79,25,24-01-1996,191,85,ST,Forward,Bayer 04 Leverkusen,German 1. Bundesliga,Czech Republic,14,Left,2,4,"Injury Prone, Finesse Shot, Flair, Technical Dribbler (AI)",70,79,70,80,35,68,75.2,71.8,73.8,73,62
404,J. IkonÃ©,Nanitamo Jonathan IkonÃ©,79,23,02-05-1998,175,73,RM,Midfield,LOSC Lille,French Ligue 1,France,10,Left,3,4,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",89,70,74,83,35,60,63,75.8,85.8,60.6,67.16666667
405,G. Kobel,Gregor Kobel,79,23,06-12-1997,195,88,GK,GK,Borussia Dortmund,German 1. Bundesliga,Switzerland,1,Right,3,1,"GK Long Throw, Rushes Out Of Goal",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,17,23.2,37.4,42.8,30.16666667
406,Lucas VerÃ­ssimo,Lucas VerÃ­ssimo da Silva,79,25,02-07-1995,188,77,RCB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,4,Right,2,2,Long Passer (AI),81,39,57,59,80,79,48.8,50.8,69.2,67.4,60
407,K. Demirbay,Kerem Demirbay,79,27,03-07-1993,183,73,LDM,Midfield,Bayer 04 Leverkusen,German 1. Bundesliga,Germany,10,Left,4,4,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",58,76,79,82,65,70,66.8,82.4,70.2,74.4,74
408,L. MartÃ­nez,Lisandro MartÃ­nez,79,23,18-01-1998,178,77,LCB,Defender,Ajax,Holland Eredivisie,Argentina,21,Left,3,3,Solid Player,71,58,73,76,79,80,65,69.4,74,75.6,72.33333333
409,RubÃ©n GarcÃ­a,RubÃ©n GarcÃ­a Santos,79,27,14-07-1993,171,71,LM,Midfield,CA Osasuna,Spain Primera Division,Spain,14,Left,2,4,"Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",80,76,79,79,45,58,70.8,78.8,80.2,67.8,64
410,Gao Late,é«˜æ‹‰ç‰¹,79,30,05-06-1991,185,78,CAM,Midfield,Guangzhou FC,Chinese Super League,China PR,11,Right,4,4,"Power Free-Kick, Playmaker (AI), Chip Shot (AI), Technical Dribbler (AI)",83,78,77,79,41,72,77.2,75.4,79.2,76.8,68.16666667
411,M. Antonio,Michail Antonio,79,31,28-03-1990,178,82,ST,Forward,West Ham United,English Premier League,Jamaica,9,Right,3,4,"Injury Prone, Flair, Speed Dribbler (AI), Power Header, Giant Throw-in, Team Player",83,76,73,78,55,83,76.6,70.6,80.8,80,71.16666667
412,M. Silvestri,Marco Silvestri,79,30,02-03-1991,191,80,GK,GK,Udinese Calcio,Italian Serie A,Italy,1,Right,3,1,Comes For Crosses,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,17.2,17,57.6,46.2,27.5
413,C. Wood,Christopher Grant Wood,79,29,07-12-1991,191,92,RS,Forward,Burnley,English Premier League,New Zealand,9,Right,3,2,Power Header,64,79,60,70,40,81,71.2,65.4,63.8,78.8,69.83333333
414,A. Cresswell,Aaron Cresswell,79,31,15-12-1989,175,66,LB,Defender,West Ham United,English Premier League,England,3,Left,3,3,Early Crosser,70,60,75,76,77,68,66,75,74.4,71.6,68.16666667
415,Ai Kesen,è‰¾å…‹æ£®,79,31,13-07-1989,180,77,RS,Forward,Guangzhou FC,Chinese Super League,China PR,9,Right,4,4,"Power Free-Kick, Chip Shot (AI), Technical Dribbler (AI)",84,80,73,79,48,79,74,75.8,83.2,80.8,73.5
416,Marcos Alonso,Marcos Alonso Mendoza,79,30,28-12-1990,188,85,LWB,Defender,Chelsea,English Premier League,Spain,3,Left,3,3,Long Shot Taker (AI),58,74,78,77,75,77,78.8,80.6,63,78,71.5
417,Mario Gaspar,Mario Gaspar PÃ©rez MartÃ­nez,79,30,24-11-1990,180,77,RB,Defender,Villarreal CF,Spain Primera Division,Spain,2,Right,3,3,Team Player,74,69,71,72,78,76,72.2,68.2,69.4,74.2,66.83333333
418,L. RodrÃ­guez,Luis Miguel RodrÃ­guez,79,36,01-01-1985,168,71,CF,Forward,Gimnasia y Esgrima La Plata,Argentina Primera DivisiÃ³n,Argentina,8,Right,4,4,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI)",68,82,76,83,43,70,76.4,80.4,76.6,75,73.66666667
419,X. Shaqiri,Xherdan Shaqiri,79,29,10-10-1991,169,72,RM,Midfield,Olympique Lyonnais,French Ligue 1,Switzerland,29,Left,4,5,"Flair, Long Shot Taker (AI), Playmaker (AI)",75,76,80,81,46,67,70,81.4,80.2,71,69.16666667
420,Y. El Arabi,Youssef El Arabi,79,34,03-02-1987,182,84,ST,Forward,Olympiacos CFP,Greek Super League,Morocco,11,Right,4,3,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",71,83,69,79,37,70,76.4,74.4,71.8,74.8,68.33333333
421,B. Mee,Ben Mee,79,31,21-09-1989,180,82,LCB,Defender,Burnley,English Premier League,England,6,Left,3,2,"Solid Player, Dives Into Tackles (AI), Leadership, Long Passer (AI), Team Player",62,42,58,63,81,78,52.6,51.8,66,67,63.5
422,C. Wilson,Callum Wilson,79,29,27-02-1992,180,66,RS,Forward,Newcastle United,English Premier League,England,9,Right,3,4,Injury Prone,80,78,66,78,41,77,72.8,65.4,77.2,74,71.5
423,A. Candreva,Antonio Candreva,79,34,28-02-1987,180,70,RM,Midfield,U.C. Sampdoria,Italian Serie A,Italy,87,Right,4,4,"Power Free-Kick, Long Shot Taker (AI), Technical Dribbler (AI)",72,78,79,80,61,62,73.4,78,75.6,68,71.83333333
424,C. Mbemba,Chancel Mbemba Mangulu,79,26,08-08-1994,182,82,RCB,Defender,FC Porto,Portuguese Liga ZON SAGRES,Congo DR,19,Right,3,2,"Dives Into Tackles (AI), Long Passer (AI), Giant Throw-in",72,53,56,65,80,78,58,50.2,70.6,71.6,59.16666667
425,F. RibÃ©ry,Franck Bilal RibÃ©ry,79,38,07-04-1983,170,72,RS,Forward,US Salernitana 1919,Italian Serie A,France,7,Right,5,5,"Injury Prone, Flair, Outside Foot Shot, Technical Dribbler (AI)",69,73,81,85,30,53,70,84.4,73.6,57.8,67.16666667
426,B. Costil,BenoÃ®t Costil,79,33,03-07-1987,187,82,GK,GK,FC Girondins de Bordeaux,French Ligue 1,France,1,Right,3,1,"Solid Player, Team Player",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,17.4,16.2,51.4,43,29.5
427,B. Gomis,BafÃ©timbi Fredius Gomis,79,35,06-08-1985,186,86,LS,Forward,Al Hilal,Saudi Abdul L. Jameel League,France,18,Right,4,3,"Solid Player, Leadership, Power Header",60,81,68,72,36,74,77.6,65.8,59.6,78,68.16666667
428,M. DembÃ©lÃ©,Mousa Sidi Yaya DembÃ©lÃ©,79,33,16-07-1987,185,85,LCM,Midfield,Guangzhou City,Chinese Super League,Belgium,8,Left,2,4,"Long Shot Taker (AI), Technical Dribbler (AI)",70,68,76,85,73,77,71,74.4,75.6,74.6,74.83333333
429,B. Matuidi,Blaise Matuidi,79,34,09-04-1987,180,75,LDM,Midfield,Inter Miami CF,USA Major League Soccer,France,8,Left,2,2,Solid Player,73,65,72,76,77,79,69.8,66.8,76.4,78,71.16666667
430,D. Ospina,David Ospina RamÃ­rez,79,32,31-08-1988,183,80,GK,GK,Napoli,Italian Serie A,Colombia,25,Right,3,1,Leadership,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,16.8,19.8,47,42.4,32.33333333
431,M. SuÃ¡rez,MatÃ­as Ezequiel SuÃ¡rez,79,33,09-05-1988,183,75,LS,Forward,River Plate,Argentina Primera DivisiÃ³n,Argentina,7,Right,4,4,"Finesse Shot, Flair, Outside Foot Shot, Technical Dribbler (AI)",79,77,77,83,44,75,75.8,78.6,82,76,70.66666667
432,M. Ã–zil,Mesut Ã–zil,79,32,15-10-1988,180,71,RF,Forward,FenerbahÃ§e SK,Turkish SÃ¼per Lig,Germany,10,Left,2,4,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Chip Shot (AI)",62,68,85,79,24,48,72.8,80.2,69.2,54.8,64.33333333
433,N. GuzmÃ¡n,Nahuel Ignacio GuzmÃ¡n,79,35,10-02-1986,193,94,GK,GK,Tigres U.A.N.L.,Mexican Liga MX,Argentina,1,Right,3,1,"GK Long Throw, Rushes Out Of Goal, Comes For Crosses",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,20,28,61.6,51.6,36.66666667
434,O. Giroud,Olivier Giroud,79,34,30-09-1986,193,91,ST,Forward,AC Milan,Italian Serie A,France,9,Left,3,3,"Flair, Outside Foot Shot, Team Player",39,80,70,71,42,77,78.6,68.6,53,74.8,74.33333333
435,Y. M'Vila,Yann GÃ©rard M'Vila,79,31,29-06-1990,182,80,CM,Midfield,Olympiacos CFP,Greek Super League,France,6,Right,3,3,Long Passer (AI),65,64,74,74,75,78,64.4,73.2,68.2,72.8,74.83333333
436,Rafael Carioca,Rafael de Souza Pereira,79,32,18-06-1989,181,78,RDM,Midfield,Tigres U.A.N.L.,Mexican Liga MX,Brazil,5,Right,3,3,"Flair, Long Passer (AI), Outside Foot Shot",70,66,77,75,73,75,64.2,73.6,72,72.4,74.66666667
437,Iniesta,AndrÃ©s Iniesta LujÃ¡n,79,37,11-05-1984,171,68,CAM,Midfield,Vissel Kobe,Japanese J. League Division 1,Spain,8,Right,4,4,"Injury Prone, Finesse Shot, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",51,69,84,84,59,57,73,81.2,64.4,58,74.16666667
438,GermÃ¡n,GermÃ¡n SÃ¡nchez Barahona,79,34,31-10-1986,187,82,LCB,Defender,Granada CF,Spain Primera Division,Spain,6,Right,2,2,"Dives Into Tackles (AI), Leadership, Power Header, Team Player",49,40,59,56,81,79,51.2,49.6,47.8,63,60.33333333
439,R. RuidÃ­az,RaÃºl Mario RuidÃ­az Misitich,79,30,25-07-1990,169,66,ST,Forward,Seattle Sounders FC,USA Major League Soccer,Peru,9,Right,4,4,"Power Free-Kick, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",84,80,66,78,32,67,74,68.2,84,74.8,65
440,T. Stepanenko,Taras Stepanenko,79,31,08-08-1989,181,80,RDM,Midfield,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,6,Left,3,3,"Dives Into Tackles (AI), Team Player",65,63,71,69,79,79,65.8,63.6,69,74.8,71
441,A. Plea,Alassane Alexandre PlÃ©a,79,28,10-03-1993,181,79,ST,Forward,Borussia MÃ¶nchengladbach,German 1. Bundesliga,France,14,Right,3,4,"Finesse Shot, Long Shot Taker (AI)",71,82,77,79,39,74,78.4,76.8,76.8,77.6,68.66666667
442,Manu Trigueros,Manuel Trigueros MuÃ±oz,79,29,17-10-1991,178,75,RCM,Midfield,Villarreal CF,Spain Primera Division,Spain,14,Right,4,4,Early Crosser,56,71,78,78,70,67,70.8,77,65.6,72.2,73.66666667
443,C. GÃ¼nter,Christian GÃ¼nter,79,28,28-02-1993,184,83,LB,Defender,Sport-Club Freiburg,German 1. Bundesliga,Germany,30,Left,2,3,"Solid Player, Early Crosser, Speed Dribbler (AI)",83,55,70,70,74,81,61.4,69.6,74,69.4,66.33333333
444,De TomÃ¡s,RaÃºl De TomÃ¡s GÃ³mez,79,26,17-10-1994,180,79,LS,Forward,RCD Espanyol de Barcelona,Spain Primera Division,Spain,11,Right,4,4,"Power Free-Kick, Flair, Long Passer (AI), Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",75,82,68,81,35,68,73.2,75.2,76.2,76.8,67
445,J. Hofmann,Jonas Hofmann,79,28,14-07-1992,176,73,RM,Midfield,Borussia MÃ¶nchengladbach,German 1. Bundesliga,Germany,23,Right,4,3,Team Player,75,72,80,79,57,66,68,77.2,77.4,69.6,72.66666667
446,J. Quintero,Juan Fernando Quintero Paniagua,79,28,18-01-1993,169,65,RM,Midfield,Shenzhen FC,Chinese Super League,Colombia,10,Left,2,4,"Power Free-Kick, Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",73,76,81,83,39,51,70.6,81.4,78.2,62.6,68.5
447,K. Mbabu,Melingo Kevin Mbabu,79,26,19-04-1995,184,83,RB,Defender,VfL Wolfsburg,German 1. Bundesliga,Switzerland,19,Right,3,3,"Early Crosser, Speed Dribbler (AI)",88,51,69,73,74,80,60.2,64.6,79.6,71.4,65
448,Matheus,Matheus Lima MagalhÃ£es,79,28,19-07-1992,190,84,GK,GK,SC Braga,Portuguese Liga ZON SAGRES,Brazil,1,Right,3,1,"GK Long Throw, Rushes Out Of Goal",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,16.2,20.6,51.8,47.2,28
449,C. Kramer,Christoph Kramer,79,30,19-02-1991,191,76,RDM,Midfield,Borussia MÃ¶nchengladbach,German 1. Bundesliga,Germany,6,Right,3,3,"Injury Prone, Team Player",44,50,70,73,78,75,61.2,65.4,58,61.2,70.16666667
450,C. Coady,Conor Coady,79,28,25-02-1993,186,80,CB,Defender,Wolverhampton Wanderers,English Premier League,England,16,Right,3,2,"Solid Player, Leadership, Long Passer (AI), Team Player",47,58,75,67,79,75,65.8,69.6,54.8,73.6,68.16666667
451,D. Klaassen,Davy Klaassen,79,28,21-02-1993,179,70,CAM,Midfield,Ajax,Holland Eredivisie,Netherlands,6,Right,3,3,"Dives Into Tackles (AI), Outside Foot Shot",71,80,73,76,72,78,77.2,67.4,71.8,77.6,78.5
452,G. Xhaka,Granit Xhaka,79,28,27-09-1992,185,82,LDM,Midfield,Arsenal,English Premier League,Switzerland,34,Left,2,3,"Power Free-Kick, Dives Into Tackles (AI), Long Passer (AI), Playmaker (AI)",50,64,79,69,69,80,63.4,76.6,56.6,72.2,72
453,Deulofeu,Gerard Deulofeu LÃ¡zaro,79,27,13-03-1994,177,73,CF,Forward,Udinese Calcio,Italian Serie A,Spain,10,Right,4,4,"Flair, Long Shot Taker (AI), Technical Dribbler (AI)",88,73,73,83,30,64,66.2,76.8,84.8,63.2,64.5
454,E. Dier,Eric Dier,79,27,15-01-1994,190,90,LCB,Defender,Tottenham Hotspur,English Premier League,England,15,Right,2,2,"Dives Into Tackles (AI), Long Passer (AI), Power Header",53,64,69,64,79,83,63.8,70.6,52.2,77.4,71.5
455,A. Carrillo,AndrÃ© MartÃ­n Carrillo DÃ­az,79,30,14-06-1991,182,78,RM,Midfield,Al Hilal,Saudi Abdul L. Jameel League,Peru,19,Right,4,4,"Flair, Speed Dribbler (AI), Outside Foot Shot",87,75,73,82,38,70,74.6,73.8,78.2,74.4,64
456,M. Cash,Matty Cash,78,23,07-08-1997,179,74,RB,Defender,Aston Villa,English Premier League,England,2,Right,3,3,"Long Throw-in, Dives Into Tackles (AI), Speed Dribbler (AI)",81,63,68,73,72,66,62.2,63.4,78.2,70.2,63.83333333
457,Gelson Martins,Gelson Dany Batalha Martins,78,26,11-05-1995,173,74,RM,Midfield,AS Monaco,French Ligue 1,Portugal,7,Right,3,5,"Injury Prone, Flair, Speed Dribbler (AI), Outside Foot Shot",93,71,70,83,51,61,67.6,72,88,69.8,66
458,A. Fulgini,Angelo Fulgini,78,24,20-08-1996,183,71,CAM,Midfield,Angers SCO,French Ligue 1,France,10,Right,4,4,Playmaker (AI),74,70,74,81,68,73,68.6,74,72.2,72,68.66666667
459,G. RodrÃ­guez,Guido RodrÃ­guez,78,26,11-04-1995,185,80,RDM,Midfield,Real Betis BalompiÃ©,Spain Primera Division,Argentina,21,Right,4,2,"Dives Into Tackles (AI), Long Shot Taker (AI), Outside Foot Shot",54,56,66,66,80,77,59.4,60.2,56.4,68.8,68.16666667
460,E. Konsa,Ezri Konsa Ngoyo,78,23,23-10-1997,183,77,RCB,Defender,Aston Villa,English Premier League,England,4,Right,3,2,Power Header,77,39,62,71,79,75,54.4,58,73.8,63.2,62.66666667
461,AntÃ´nio Chiamuloira,A. Benjamin Chiamuloira Paes,78,21,29-02-2000,182,79,LCB,Defender,Internacional,Campeonato Brasileiro SÃ©rie A,Brazil,5,Left,3,2,"Solid Player, Long Passer (AI)",68,48,60,54,79,75,58.8,56.4,64.6,63.8,62
462,F. Grillitsch,Florian Grillitsch,78,25,07-08-1995,187,77,RDM,Midfield,TSG Hoffenheim,German 1. Bundesliga,Austria,11,Right,3,3,"Leadership, Long Passer (AI), Playmaker (AI)",69,60,77,78,72,66,64.8,71.2,70,63,68.83333333
463,E. Audero,Emil Audero Mulyadi,78,24,18-01-1997,192,83,GK,GK,U.C. Sampdoria,Italian Serie A,Italy,1,Right,2,1,Cautious With Crosses,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,19,16,56.6,43.8,25.33333333
464,Gerson ArmÃ£o,GÃ©rson Adriano Gutierres Serra,78,21,29-02-2000,186,73,RM,Midfield,Internacional,Campeonato Brasileiro SÃ©rie A,Brazil,15,Left,5,3,"Power Free-Kick, Dives Into Tackles (AI), Giant Throw-in, Team Player",79,67,71,71,74,78,71,73.6,71,79,71.33333333
465,Wellington SabrÃ£o,Wellingt. Edson SabrÃ£o Rolim,78,33,29-02-1988,169,66,RB,Defender,Flamengo,Campeonato Brasileiro SÃ©rie A,Brazil,4,Right,3,2,Injury Prone,92,56,68,73,72,69,63,64.6,81.4,68,62.33333333
466,Vincente Dourado,Vincente Filho Dourado Hermes,78,25,29-02-1996,190,88,RCB,Defender,Flamengo,Campeonato Brasileiro SÃ©rie A,Brazil,6,Right,3,2,Dives Into Tackles (AI),58,29,63,58,77,84,52.2,50.2,58.4,61.4,58.83333333
467,Everticinho,Everton Jorge SimÃ£o Resende,78,21,29-02-2000,176,75,RB,Defender,RB Bragantino,Campeonato Brasileiro SÃ©rie A,Brazil,21,Right,3,4,"Early Crosser, Chip Shot (AI)",78,71,71,76,74,74,70.4,70.8,77.2,73.8,71.5
468,Dani GarcÃ­a,Daniel GarcÃ­a Carrillo,78,31,24-05-1990,180,81,LCM,Midfield,Athletic Club de Bilbao,Spain Primera Division,Spain,14,Right,3,3,"Solid Player, Leadership",41,69,71,74,78,83,60.2,70,60.4,76.4,72.83333333
469,Sergio Herrera,Sergio Herrera PirÃ³n,78,28,06-06-1993,192,82,GK,GK,CA Osasuna,Spain Primera Division,Spain,1,Right,3,1,Comes For Crosses,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,18,21,52,47,28
470,Arturo InÃ¡lcio,Arturo Adolfo InÃ¡lcio Dutra,78,21,29-02-2000,170,60,CAM,Midfield,Flamengo,Campeonato Brasileiro SÃ©rie A,Brazil,21,Right,3,2,Long Passer (AI),83,72,75,78,52,48,66.4,68.6,79.8,63.8,62
471,B. Bourigeaud,Benjamin Bourigeaud,78,27,14-01-1994,178,68,RCM,Midfield,Stade Rennais FC,French Ligue 1,France,14,Right,3,3,"Long Passer (AI), Long Shot Taker (AI), Outside Foot Shot",70,74,79,77,66,73,72.6,78.6,72.8,75.4,76
472,C. Izquierdoz,Carlos Roberto Izquierdoz,78,32,03-11-1988,185,88,RCB,Defender,Boca Juniors,Argentina Primera DivisiÃ³n,Argentina,24,Right,3,2,"Dives Into Tackles (AI), Leadership, Power Header",51,52,54,54,79,84,58.8,50,51.6,75.6,59.33333333
473,Ayoze PÃ©rez,Ayoze PÃ©rez GutiÃ©rrez,78,27,29-07-1993,178,72,RM,Midfield,Leicester City,English Premier League,Spain,17,Right,4,4,"Finesse Shot, Flair",77,73,72,80,58,67,74.6,72.2,79.4,70,71.83333333
474,S. Fofana,Seko Fofana,78,26,07-05-1995,185,74,LCM,Midfield,Racing Club de Lens,French Ligue 1,CÃ´te d'Ivoire,8,Right,4,3,"Long Shot Taker (AI), Speed Dribbler (AI)",76,71,72,78,72,79,65.4,67.2,74.8,76,73.16666667
475,Ãlex Moreno,Alexandre Moreno Lopera,78,28,08-06-1993,179,68,LB,Defender,Real Betis BalompiÃ©,Spain Primera Division,Spain,15,Left,3,3,"Long Shot Taker (AI), Speed Dribbler (AI)",88,60,71,77,71,64,66.4,68.6,82.6,64.2,68.16666667
476,S. Gigot,Samuel Gigot,78,27,12-10-1993,187,83,RCB,Defender,Spartak Moskva,Russian Premier League,France,2,Right,2,2,"Injury Prone, Leadership, Power Header",67,38,63,60,78,79,57,52,65.4,62.2,64.16666667
477,L. Ajorque,Ludovic Ajorque,78,27,25-02-1994,197,92,LS,Forward,RC Strasbourg Alsace,French Ligue 1,France,25,Left,3,3,Power Header,60,78,60,70,26,81,71.6,58.2,57.2,77.8,66.83333333
478,B. Santamaria,Baptiste SantamarÃ­a,78,26,09-03-1995,183,73,LCM,Midfield,Stade Rennais FC,French Ligue 1,France,8,Right,2,3,"Long Passer (AI), Long Shot Taker (AI)",60,62,71,74,76,74,63.2,67.2,66.2,73,65.83333333
479,R. BorrÃ©,Rafael Santos BorrÃ© Maury,78,25,15-09-1995,174,70,ST,Forward,Eintracht Frankfurt,German 1. Bundesliga,Colombia,19,Right,3,3,"Solid Player, Finesse Shot, Speed Dribbler (AI), Outside Foot Shot",81,77,72,78,44,76,73.6,73.8,81.2,77,72.83333333
480,L. Olaza,Lucas RenÃ© Olaza Catrofe,78,26,21-07-1994,175,70,LWB,Defender,Real Valladolid CF,Spanish Segunda DivisiÃ³n,Uruguay,21,Left,3,3,Long Shot Taker (AI),77,71,74,74,74,72,68,74,73.8,75,71
481,M. Friedrich,Marvin Friedrich,78,25,13-12-1995,192,81,RCB,Defender,1. FC Union Berlin,German 1. Bundesliga,Germany,5,Right,3,2,Long Passer (AI),64,41,57,53,81,76,52.6,47.4,61.8,63,58.16666667
482,R. Karsdorp,Rick Karsdorp,78,26,11-02-1995,184,80,RB,Defender,Roma,Italian Serie A,Netherlands,2,Right,3,3,"Long Throw-in, Injury Prone, Early Crosser, Speed Dribbler (AI)",87,64,74,77,76,78,69.8,72.2,76.4,76,71.33333333
483,Ã. Mena,Ãngel Israel Mena Delgado,78,33,21-01-1988,168,71,RM,Midfield,Club LeÃ³n,Mexican Liga MX,Ecuador,13,Left,4,4,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",81,74,72,82,45,49,73.4,72.8,83,59.2,60.66666667
484,Puado,Javier Puado DÃ­az,78,23,25-05-1998,177,69,LM,Midfield,RCD Espanyol de Barcelona,Spain Primera Division,Spain,9,Right,4,4,"Long Shot Taker (AI), Speed Dribbler (AI)",83,76,68,80,45,73,73.8,63.8,80.8,77.2,66
485,Fredditinho,Fred Claudinei TÃ³foli Vilela,78,33,29-02-1988,188,87,ST,Forward,Palmeiras,Campeonato Brasileiro SÃ©rie A,Brazil,10,Right,1,2,Injury Prone,73,80,63,74,39,76,71.4,66.2,76.6,78.6,66.33333333
486,N. De la Cruz,Diego NicolÃ¡s De La Cruz Arcosa,78,24,01-06-1997,167,65,RAM,Midfield,River Plate,Argentina Primera DivisiÃ³n,Uruguay,11,Right,4,4,"Long Shot Taker (AI), Speed Dribbler (AI)",84,75,77,81,69,67,73,78,84.8,75,78
487,Junior Firpo,HÃ©ctor Junior Firpo AdamÃ©s,78,24,22-08-1996,184,78,LB,Defender,Leeds United,English Premier League,Spain,3,Left,3,3,Early Crosser,81,64,71,72,75,76,69.4,64.8,72.4,71.4,67.33333333
488,P. RajkoviÄ‡,Predrag RajkoviÄ‡,78,25,31-10-1995,191,85,GK,GK,Stade de Reims,French Ligue 1,Serbia,1,Right,2,1,Long Passer (AI),73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,13.8,15,36.4,38.6,22.16666667
489,C. Baumgartner,Christoph Baumgartner,78,21,01-08-1999,180,73,RM,Midfield,TSG Hoffenheim,German 1. Bundesliga,Austria,14,Right,3,3,"Flair, Technical Dribbler (AI)",80,72,73,80,44,56,71,70.6,79,63,64.16666667
490,Luis Milla,Luis Milla Manzanares,78,26,07-10-1994,175,67,LCM,Midfield,Granada CF,Spain Primera Division,Spain,5,Right,3,3,"Finesse Shot, Playmaker (AI)",72,70,76,74,74,75,63.6,73.6,74.2,75.4,75.33333333
491,De Frutos,Jorge de Frutos SebastiÃ¡n,78,24,20-02-1997,176,71,RM,Midfield,Levante UniÃ³n Deportiva,Spain Primera Division,Spain,18,Right,4,4,Technical Dribbler (AI),83,70,74,81,37,59,67,73,79,67.2,63.5
492,J. David,Jonathan Christian David,78,21,14-01-2000,177,77,RS,Forward,LOSC Lille,French Ligue 1,Canada,9,Right,5,3,"Solid Player, Outside Foot Shot",85,76,71,78,25,70,73.6,66.6,78.4,78.2,59.83333333
493,Jovane Cabral,Jovane Eduardo Borges Cabral,78,23,14-06-1998,176,72,LW,Forward,Sporting CP,Portuguese Liga ZON SAGRES,Cape Verde Islands,10,Right,4,4,"Long Passer (AI), Speed Dribbler (AI)",86,76,73,80,38,69,70.4,76.4,81.6,74.4,66.33333333
494,O. KolÃ¡Å™,OndÅ™ej KolÃ¡Å™,78,26,17-10-1994,193,81,GK,GK,SK Slavia Praha,Czech Republic Gambrinus Liga,Czech Republic,1,Right,3,1,"Rushes Out Of Goal, Saves with Feet",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,15.4,24.6,53.2,39.2,26.5
